Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,1480,3,2,1,238,4,30,3,1,2,2088,15062,4,12,3,3,80,0,13,3,2,8,7,7,2
31,325,5,3,1,2057,2,74,3,2,1,9936,3787,0,19,3,2,80,0,10,2,3,9,4,1,7
35,890,2,3,1,49,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2
29,441,8,1,1,1544,3,39,1,2,1,9715,7288,3,13,3,3,80,1,9,3,3,7,7,0,7
36,913,9,2,1,699,2,48,2,2,2,8847,13934,2,11,3,3,80,1,13,2,3,3,2,0,2
28,1485,12,1,1,1175,3,79,3,1,4,2515,22955,1,11,3,4,80,0,1,4,2,1,1,0,0
29,806,7,3,1,1299,2,39,3,1,3,3339,17285,3,13,3,1,80,2,10,2,3,7,7,7,7
39,1485,25,2,1,1397,3,71,3,3,3,10920,3449,3,21,4,2,80,1,13,2,3,6,4,0,5
42,810,23,5,1,468,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,2,3,1,0,0,0
30,160,3,3,1,680,3,71,3,1,3,2083,22653,1,20,4,3,80,1,1,2,3,1,0,0,0
23,507,20,1,1,1533,1,97,3,2,3,2272,24812,0,14,3,2,80,0,5,2,3,4,3,1,2
53,124,2,3,1,1050,3,38,2,3,2,7525,23537,2,12,3,1,80,1,30,2,3,15,7,6,12
35,763,15,2,1,1645,1,59,1,2,4,5440,22098,6,14,3,4,80,2,7,2,2,2,2,2,2
22,604,6,1,1,675,1,69,3,1,3,2773,12145,0,20,4,4,80,0,3,3,3,2,2,2,2
32,801,1,4,1,2016,3,48,3,3,4,10422,24032,1,19,3,3,80,2,14,3,3,14,10,5,7
49,809,1,3,1,1677,3,36,3,4,3,15379,22384,4,14,3,1,80,0,23,2,3,8,7,0,0
56,713,8,3,1,241,3,67,3,1,1,4257,13939,4,18,3,3,80,1,19,3,3,2,2,2,2
35,672,25,3,1,899,4,78,2,3,2,10903,9129,3,16,3,1,80,0,16,2,3,13,10,4,8
50,1126,1,2,1,997,4,66,3,4,4,17399,6615,9,22,4,3,80,1,32,1,2,5,4,1,3
18,247,8,1,1,1156,3,80,3,1,3,1904,13556,1,12,3,4,80,0,0,0,3,0,0,0,0
48,1236,1,4,1,664,4,40,2,4,1,15402,17997,7,11,3,1,80,1,21,3,1,3,2,0,2
34,121,2,4,1,804,3,86,2,1,1,4381,7530,1,11,3,3,80,0,6,3,3,6,5,1,3
31,1398,8,2,1,1461,4,96,4,1,2,2109,24609,9,18,3,4,80,0,8,3,3,3,2,0,2
35,195,1,3,1,620,1,80,3,2,3,4859,6698,1,16,3,4,80,0,5,3,3,5,4,0,3
38,653,29,5,1,79,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,2,3,10,3,9,9
40,1398,2,4,1,558,3,79,3,5,3,18041,13022,0,14,3,4,80,0,21,2,3,20,15,1,12
26,390,17,4,1,1718,4,62,1,1,3,2305,6217,1,15,3,3,80,3,3,3,4,3,2,0,2
32,588,8,2,1,436,3,65,2,2,2,5228,24624,1,11,3,4,80,0,13,2,3,13,12,11,9
34,735,22,4,1,1932,3,86,2,2,4,5747,26496,1,15,3,2,80,0,16,3,3,15,10,6,11
29,1176,3,2,1,690,2,62,3,2,3,5561,3487,1,14,3,1,80,1,6,5,2,6,0,1,2
29,1329,7,3,1,1260,3,82,3,2,4,6623,4204,1,11,3,2,80,2,6,2,3,6,0,1,0
31,1112,5,4,1,1673,1,67,3,2,4,5476,22589,1,11,3,1,80,2,10,2,3,10,0,0,2
35,1180,2,2,1,1804,2,90,3,2,4,5762,24442,2,14,3,3,80,1,15,6,3,7,7,1,7
27,1157,17,3,1,233,3,51,3,1,2,3058,13364,0,16,3,4,80,1,6,3,2,5,2,1,1
23,571,12,2,1,1982,4,78,3,1,4,2647,13672,1,13,3,3,80,0,5,6,4,5,2,1,4
29,805,1,2,1,816,2,36,2,1,1,2319,6689,1,11,3,4,80,1,1,1,3,1,0,0,0
38,693,7,3,1,1382,4,57,4,1,3,2610,15748,1,11,3,4,80,3,4,2,3,4,2,0,3
23,160,4,1,1,1735,3,51,3,1,2,3295,12862,1,13,3,3,80,0,3,3,1,3,2,1,2
46,563,1,4,1,1602,4,56,4,4,1,17567,3156,1,15,3,2,80,0,27,5,1,26,0,0,12
25,949,1,3,1,1415,1,81,3,1,4,3229,4910,4,11,3,2,80,1,7,2,2,3,2,0,2
42,1271,2,1,1,875,2,35,3,1,4,2515,9068,5,14,3,4,80,0,8,2,3,2,1,2,2
52,266,2,1,1,1038,1,57,1,5,4,19845,25846,1,15,3,4,80,1,33,3,3,32,14,6,9
32,862,2,1,1,1190,3,76,3,1,1,2827,14947,1,12,3,3,80,3,1,3,3,1,0,0,0
44,429,1,2,1,1792,3,99,3,1,2,2342,11092,1,12,3,3,80,3,6,2,2,5,3,2,3
49,1098,4,2,1,1256,1,85,2,5,3,18711,12124,2,13,3,3,80,1,23,2,4,1,0,0,0
51,1323,4,4,1,1081,1,34,3,1,3,2461,10332,9,12,3,3,80,3,18,2,4,10,0,2,7
39,895,5,3,1,42,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0
36,1218,9,4,1,27,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3
35,944,1,3,1,314,3,92,3,3,3,8789,9096,1,14,3,1,80,0,10,3,4,10,7,0,8
24,1269,4,1,1,888,1,46,2,1,4,3162,10778,0,17,3,4,80,0,6,2,2,5,2,3,4
42,201,1,4,1,517,2,95,3,1,1,2576,20490,3,16,3,2,80,1,8,5,3,5,2,1,2
25,772,2,1,1,1653,4,77,4,2,3,5206,4973,1,17,3,3,80,2,7,6,3,7,7,0,7
28,329,24,3,1,1604,3,51,3,1,2,2408,7324,1,17,3,3,80,3,1,3,3,1,1,0,0
41,337,8,3,1,1909,3,54,3,2,2,4393,26841,5,21,4,3,80,1,14,3,3,5,4,1,4
34,665,6,4,1,138,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,3,16,13,2,10
49,174,8,4,1,1138,4,56,2,4,2,13120,11879,6,17,3,2,80,1,22,3,3,9,8,2,3
35,1258,1,4,1,826,4,40,4,1,3,2506,13301,3,13,3,3,80,0,7,0,3,2,2,2,2
28,440,21,3,1,221,3,42,3,1,4,2713,6672,1,11,3,3,80,1,5,2,1,5,2,0,2
27,1055,2,4,1,1027,1,47,3,2,4,4227,4658,0,18,3,2,80,1,4,2,3,3,2,2,2
41,582,28,4,1,2034,1,60,2,4,2,13570,5640,0,23,4,3,80,1,21,3,3,20,7,0,10
35,1232,16,3,1,406,3,96,3,3,2,8020,5100,0,15,3,3,80,2,12,3,2,11,9,6,9
35,1097,11,2,1,70,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3
37,1115,1,4,1,77,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,2,4,7,5,0,7
40,759,2,2,1,516,4,46,3,2,2,5715,22553,7,12,3,3,80,2,8,5,3,5,4,1,3
31,667,1,4,1,1427,2,50,1,1,3,1359,16154,1,12,3,2,80,0,1,3,3,1,0,0,0
34,296,6,2,1,555,4,33,1,1,3,2351,12253,0,16,3,4,80,1,3,3,2,2,2,1,0
31,525,6,4,1,653,1,66,4,2,4,5460,6219,4,22,4,4,80,2,13,4,4,7,7,5,7
22,594,2,1,1,169,3,100,3,1,4,2523,19299,0,14,3,3,80,1,3,2,3,2,1,2,1
42,269,2,3,1,351,4,56,2,1,1,2593,8007,0,11,3,3,80,1,10,4,3,9,6,7,8
58,605,21,3,1,1938,4,72,3,4,4,17875,11761,4,13,3,3,80,1,29,2,2,1,0,0,0
37,1107,14,3,1,515,4,95,3,1,1,3034,26914,1,12,3,3,80,1,18,2,2,18,7,12,17
45,248,23,2,1,1002,4,42,3,2,1,3633,14039,1,15,3,3,80,1,9,2,3,9,8,0,8
46,705,2,4,1,38,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,2,1
20,727,9,1,1,1680,4,54,3,1,1,2728,21082,1,11,3,1,80,0,2,3,3,2,2,0,2
38,1084,29,3,1,273,4,54,3,2,4,6261,4185,3,18,3,1,80,1,9,3,1,7,7,1,7
27,1130,8,4,1,458,2,56,3,2,2,6214,3415,1,18,3,1,80,1,8,3,3,8,7,0,7
24,984,17,2,1,1219,4,97,3,1,2,2210,3372,1,13,3,1,80,1,1,3,1,1,0,0,0
38,343,15,2,1,461,3,92,2,3,4,11510,15682,0,14,3,2,80,1,12,3,3,11,10,2,9
57,210,29,3,1,568,1,56,2,4,4,14118,22102,3,12,3,3,80,1,32,3,2,1,0,0,0
24,1476,4,1,1,1445,4,42,3,2,3,4162,15211,1,12,3,3,80,2,5,3,3,5,4,0,3
37,1063,25,5,1,529,2,72,3,2,3,4449,23866,3,15,3,1,80,2,15,2,3,13,11,10,7
36,217,18,4,1,1133,1,78,3,2,4,7779,23238,2,20,4,1,80,0,18,0,3,11,9,0,9
30,1005,3,3,1,297,4,88,3,1,1,2657,8556,5,11,3,3,80,0,8,5,3,5,2,0,4
28,821,5,4,1,916,1,98,3,2,4,4908,24252,1,14,3,2,80,0,4,3,3,4,2,0,2
37,558,2,3,1,656,4,75,3,2,3,9602,3010,4,11,3,3,80,1,17,3,2,3,0,1,0
31,359,18,5,1,1842,4,89,4,1,1,2956,21495,0,17,3,3,80,0,2,4,3,1,0,0,0
